Year,Month,Day,Fractional year,Modulation potential [MV]
1964,10,4,1964.756831,521.8
1964,10,5,1964.759563,528
1964,10,6,1964.762295,532.7
1964,10,7,1964.765027,529.9
1964,10,8,1964.76776,524.2
1964,10,9,1964.770492,524.3
1964,10,10,1964.773224,516.7
1964,10,11,1964.775956,513
1964,10,12,1964.778689,510.7
1964,10,13,1964.781421,515.6
1964,10,14,1964.784153,514.1
1964,10,15,1964.786885,512.1
1964,10,16,1964.789617,517.1
1964,10,17,1964.79235,512.4
1964,10,18,1964.795082,523.6
1964,10,19,1964.797814,521.6
1964,10,20,1964.800546,527
1964,10,21,1964.803279,527.2
1964,10,22,1964.806011,519.5
1964,10,23,1964.808743,513.5
1964,10,24,1964.811475,513
1964,10,25,1964.814208,512.6
1964,10,26,1964.81694,519.6
1964,10,27,1964.819672,514.6
1964,10,28,1964.822404,512.6
1964,10,29,1964.825137,513
1964,10,30,1964.827869,511.5
1964,10,31,1964.830601,509.1
1964,11,1,1964.833333,511.1
1964,11,2,1964.836066,525.4
1964,11,3,1964.838798,519.2
1964,11,4,1964.84153,518.8
1964,11,5,1964.844262,514.2
1964,11,6,1964.846995,511.2
1964,11,7,1964.849727,508.6
1964,11,8,1964.852459,518
1964,11,9,1964.855191,526.3
1964,11,10,1964.857923,526.9
1964,11,11,1964.860656,524.5
1964,11,12,1964.863388,521.6
1964,11,13,1964.86612,515.9
1964,11,14,1964.868852,512.1
1964,11,15,1964.871585,511.1
1964,11,16,1964.874317,526.3
1964,11,17,1964.877049,528.4
1964,11,18,1964.879781,530.8
1964,11,19,1964.882514,524
1964,11,20,1964.885246,520.2
1964,11,21,1964.887978,510.8
1964,11,22,1964.89071,501.7
1964,11,23,1964.893443,517.7
1964,11,24,1964.896175,515.9
1964,11,25,1964.898907,516.7
1964,11,26,1964.901639,521.1
1964,11,27,1964.904372,510.3
1964,11,28,1964.907104,518.7
1964,11,29,1964.909836,515.7
1964,11,30,1964.912568,514.2
1964,12,1,1964.915301,511
1964,12,2,1964.918033,512.7
1964,12,3,1964.920765,510.3
1964,12,4,1964.923497,501.4
1964,12,5,1964.92623,501.3
1964,12,6,1964.928962,492.9
1964,12,7,1964.931694,493.2
1964,12,8,1964.934426,490.7
1964,12,9,1964.937158,479.4
1964,12,10,1964.939891,481.7
1964,12,11,1964.942623,480.2
1964,12,12,1964.945355,477.1
1964,12,13,1964.948087,476.3
1964,12,14,1964.95082,484.7
1964,12,15,1964.953552,487.2
1964,12,16,1964.956284,495.7
1964,12,17,1964.959016,495.5
1964,12,18,1964.961749,490.7
1964,12,19,1964.964481,487.2
1964,12,20,1964.967213,490
1964,12,21,1964.969945,491
1964,12,22,1964.972678,489.2
1964,12,23,1964.97541,486.8
1964,12,24,1964.978142,483.2
1964,12,25,1964.980874,478.1
1964,12,26,1964.983607,477.8
1964,12,27,1964.986339,479.4
1964,12,28,1964.989071,477.1
1964,12,29,1964.991803,488
1964,12,30,1964.994536,488.4
1964,12,31,1964.997268,484.8
1965,1,1,1965,467.1
1965,1,2,1965.00274,468.6
1965,1,3,1965.005479,469.5
1965,1,4,1965.008219,473.5
1965,1,5,1965.010959,479.6
1965,1,6,1965.013699,477.6
1965,1,7,1965.016438,474.2
1965,1,8,1965.019178,480
1965,1,9,1965.021918,480.8
1965,1,10,1965.024658,481.5
1965,1,11,1965.027397,488.4
1965,1,12,1965.030137,489.8
1965,1,13,1965.032877,499.7
1965,1,14,1965.035616,499.7
1965,1,15,1965.038356,510.7
1965,1,16,1965.041096,510.1
1965,1,17,1965.043836,498.8
1965,1,18,1965.046575,499.4
1965,1,19,1965.049315,498.2
1965,1,20,1965.052055,492.1
1965,1,21,1965.054795,506.6
1965,1,22,1965.057534,500.3
1965,1,23,1965.060274,495.5
1965,1,24,1965.063014,489.1
1965,1,25,1965.065753,484.4
1965,1,26,1965.068493,487.7
1965,1,27,1965.071233,483.5
1965,1,28,1965.073973,475
1965,1,29,1965.076712,474.4
1965,1,30,1965.079452,472.7
1965,1,31,1965.082192,471.6
1965,2,1,1965.084932,474.6
1965,2,2,1965.087671,474.9
1965,2,3,1965.090411,473.8
1965,2,4,1965.093151,480.3
1965,2,5,1965.09589,479.1
1965,2,6,1965.09863,473.5
1965,2,7,1965.10137,487.6
1965,2,8,1965.10411,495.8
1965,2,9,1965.106849,528.4
1965,2,10,1965.109589,524.1
1965,2,11,1965.112329,509.5
1965,2,12,1965.115068,501.5
1965,2,13,1965.117808,499.9
1965,2,14,1965.120548,501.7
1965,2,15,1965.123288,498.4
1965,2,16,1965.126027,490.2
1965,2,17,1965.128767,486.9
1965,2,18,1965.131507,484.2
1965,2,19,1965.134247,482.2
1965,2,20,1965.136986,480.1
1965,2,21,1965.139726,489.5
1965,2,22,1965.142466,484.3
1965,2,23,1965.145205,482
1965,2,24,1965.147945,491.4
1965,2,25,1965.150685,485.7
1965,2,26,1965.153425,483.4
1965,2,27,1965.156164,485.9
1965,2,28,1965.158904,484.9
1965,3,1,1965.161644,481.5
1965,3,2,1965.164384,483.4
1965,3,3,1965.167123,499.2
1965,3,4,1965.169863,499.7
1965,3,5,1965.172603,496.8
1965,3,6,1965.175342,497.4
1965,3,7,1965.178082,486.8
1965,3,8,1965.180822,478
1965,3,9,1965.183562,484.1
1965,3,10,1965.186301,483.1
1965,3,11,1965.189041,475.7
1965,3,12,1965.191781,472.1
1965,3,13,1965.194521,480.3
1965,3,14,1965.19726,477.3
1965,3,15,1965.2,476.4
1965,3,16,1965.20274,470.7
1965,3,17,1965.205479,469.1
1965,3,18,1965.208219,468.5
1965,3,19,1965.210959,462.1
1965,3,20,1965.213699,461.5
1965,3,21,1965.216438,467.9
1965,3,22,1965.219178,465.2
1965,3,23,1965.221918,471
1965,3,24,1965.224658,472.7
1965,3,25,1965.227397,477.2
1965,3,26,1965.230137,474.8
1965,3,27,1965.232877,469.1
1965,3,28,1965.235616,465.7
1965,3,29,1965.238356,468.3
1965,3,30,1965.241096,474.1
1965,3,31,1965.243836,467.1
1965,4,1,1965.246575,464.2
1965,4,2,1965.249315,462.6
1965,4,3,1965.252055,458.7
1965,4,4,1965.254795,465.1
1965,4,5,1965.257534,462.2
1965,4,6,1965.260274,462.1
1965,4,7,1965.263014,466.6
1965,4,8,1965.265753,461.5
1965,4,9,1965.268493,458.3
1965,4,10,1965.271233,455.5
1965,4,11,1965.273973,457.8
1965,4,12,1965.276712,453.3
1965,4,13,1965.279452,452.8
1965,4,14,1965.282192,452.9
1965,4,15,1965.284932,453.1
1965,4,16,1965.287671,450.6
1965,4,17,1965.290411,449.6
1965,4,18,1965.293151,477.5
1965,4,19,1965.29589,487.5
1965,4,20,1965.29863,483.9
1965,4,21,1965.30137,473.6
1965,4,22,1965.30411,469.2
1965,4,23,1965.306849,469.1
1965,4,24,1965.309589,470.5
1965,4,25,1965.312329,463.6
1965,4,26,1965.315068,461.1
1965,4,27,1965.317808,464.1
1965,4,28,1965.320548,456.7
1965,4,29,1965.323288,456.3
1965,4,30,1965.326027,455.6
1965,5,1,1965.328767,457.6
